Package            Version Latest Type
------------------ ------- ------ -----
aiohttp            3.13.4  3.13.5 wheel
click              8.1.8   8.3.3  wheel
google-genai       1.75.0  2.0.0  wheel
importlib_metadata 8.5.0   9.0.0  wheel
jsonschema         4.23.0  4.26.0 wheel
marshmallow        3.26.2  4.3.0  wheel
openai             2.24.0  2.36.0 wheel
pydantic           2.12.5  2.13.4 wheel
pydantic_core      2.41.5  2.46.4 wheel
redis              6.4.0   7.4.0  wheel
setuptools         65.5.0  82.0.1 wheel
tokenizers         0.22.2  0.23.1 wheel
typer              0.23.1  0.25.1 wheel
